clip_id,classes,n_shapes,std_mean_abs_torque_normalized,std_mean_power_mass_normalized,std_normalized_jerk
000153,other,128,0.0001624624444651526,0.1688198487675647,151.27179676531338
000271,other,128,0.00015990005702167266,0.18598249979768233,337.32976537794707
000557,walking;standing,128,0.00019771165131233923,0.19688172827013145,384.4902711254195
000667,walking,128,0.0001936717405558824,0.21497885840523787,332.5990570550753
000828,walking;running,128,0.00019262079044140182,0.23070555009524105,371.4647564351234
001000,other,128,0.00016965993427607787,0.19460265750079556,287.2187209598666
001010,other,128,0.00018030140273908176,0.1783888840998973,132.37719598255754
001134,other,128,0.00019100573005806907,0.19503672465374106,452.5191749810899
001503,standing,128,0.00018115369640618273,0.17478964798766747,340.9669316864379
001545,standing,128,0.0002539911278431175,0.25142392609336855,665.6885150145902
001566,other,128,0.00018132229571208786,0.16527765381507398,93.86300121377741
002303,standing,128,0.00017569888455526474,0.1799348015604828,56.176906152846676
002325,walking,128,0.00020232807374867128,0.34047562958845545,443.99277082614145
002492,other,128,0.00013900130549626127,0.19216835241133456,166.2314823695549
002750,other,128,0.0002725513571523215,0.22412256845059736,697.7450712253718
002941,walking,128,0.00022103357385736826,0.2497828528272057,525.6484595651809
003621,other,128,0.00015784918234930322,0.17435269573414364,235.71932482282844
003689,walking,128,0.00022321989341457163,0.28684674582416136,388.32314088684416
003773,jumping;kicking,128,0.00025870938125702886,0.5143930239140204,408.4207471042039
003813,other,128,0.00015372808978061193,0.15613600916342033,43.45540815353203
003973,standing,128,0.00015143259895363588,0.151855422382998,71.74252284997365
004226,sitting;standing,128,0.00019847670653524275,0.1994111876095632,319.2659189735925
004230,walking;running;standing,128,0.0002098927990236839,0.3334138704577725,496.3103550409675
004858,standing,128,0.00015547955546237787,0.16369988393750795,61.32772730544485
005011,other,128,0.0001570017170184444,0.17374621502651474,124.11081390528948
005527,walking;jumping,128,0.00020146544452114825,0.2538981146735925,443.2167735819328
005724,walking,128,0.00010796257946975967,0.2005900191569191,334.1870037611612
005868,walking;standing,128,0.0001537614958576775,0.18465754378319596,325.45707808052055
006082,other,128,0.00018586751750960764,0.1774828693230608,226.277340978482
006141,other,128,9.989325904540447e-05,0.1497743898992139,156.34792159038875
006617,walking,128,0.0001898874559809497,0.23413209077334696,632.2102382650409
006857,dancing,128,0.0001798018217707968,0.21989553009866128,499.5741380351455
007081,walking,128,0.0001893046544051645,0.17947511118431192,332.92750133334886
007329,walking,128,0.00017793995141287516,0.189042047882787,321.7134832060191
007388,standing,128,0.00017983714894622,0.22995557959515506,336.7924995831995
007861,walking,128,0.00014277969065891824,0.16965789849743187,355.5727017771414
007891,walking,128,0.00019181472359668835,0.21719492340227858,618.7354020739946
007904,walking,128,0.0003351239715222896,0.27198320802041687,440.7685860537595
007993,other,128,0.00014185760984394803,0.1747597297995993,729.4490025369232
008125,running;standing,128,0.00017396338038030618,0.1788602217814138,158.26821223084858
008802,walking;standing,128,0.00023561363912450006,0.2597117287788217,572.8113280464272
008912,walking;dancing,128,0.00014860907641726137,0.18074307196356523,354.4148635203923
009122,walking,128,0.00017930404804988566,0.2286206519469646,370.6162355263225
009628,other,128,0.00019981875453586127,0.2535433969763893,180.95357058888536
009854,standing,128,0.00015564618375980263,0.15390625055804094,44.51104624976038
009927,other,128,0.0001906332543019514,0.17890017339795994,268.2376905181197
010007,other,128,0.00019431814490908646,0.1983149025982631,571.0126136932184
