clip_id,asset_id,motion_id,episode_len_steps,success,terminated,max_gt_error,mean_gt_error,mean_gr_error
000007,male_0d2e4580,0,198,1,0,0.18695472180843353,0.11114832013845444,0.1895136535167694
000009,male_0d2e4580,32,198,1,0,0.1360463798046112,0.08780515193939209,0.15660010278224945
000015,male_0d2e4580,64,198,1,0,0.0984487384557724,0.07242590934038162,0.180229052901268
000029,male_0d2e4580,96,198,1,0,0.07258394360542297,0.0616852231323719,0.15216147899627686
000032,male_0d2e4580,128,198,1,0,0.09924983233213425,0.07295755296945572,0.15677563846111298
000041,male_0d2e4580,160,198,1,0,0.13932514190673828,0.07486450672149658,0.18481776118278503
000093,male_0d2e4580,192,198,1,0,0.19387301802635193,0.10649815946817398,0.15388865768909454
000108,male_0d2e4580,224,198,1,0,0.10579314082860947,0.07282590121030807,0.15674355626106262
000128,male_0d2e4580,256,198,1,0,0.17062747478485107,0.11379469931125641,0.21371488273143768
000135,male_0d2e4580,288,198,1,0,0.16038967669010162,0.10215653479099274,0.19516991078853607
000156,male_0d2e4580,320,198,1,0,0.10832975804805756,0.06289909034967422,0.14649586379528046
000171,male_0d2e4580,352,198,1,0,0.22401957213878632,0.114745132625103,0.23584909737110138
000210,male_0d2e4580,384,198,1,0,0.14285914599895477,0.08559510856866837,0.16640743613243103
000225,male_0d2e4580,416,198,1,0,0.20662415027618408,0.09576406329870224,0.1772274374961853
000256,male_0d2e4580,448,198,1,0,0.1677461713552475,0.09430474787950516,0.1739531010389328
000257,male_0d2e4580,480,198,1,0,0.1510259211063385,0.09418335556983948,0.1569252759218216
000280,male_0d2e4580,512,198,1,0,0.07290465384721756,0.0628679096698761,0.1833690106868744
000317,male_0d2e4580,544,198,1,0,0.13484328985214233,0.08690287172794342,0.18197855353355408
000327,male_0d2e4580,576,198,1,0,0.12349541485309601,0.08775526285171509,0.17406198382377625
000336,male_0d2e4580,608,198,1,0,0.11233490705490112,0.08619289100170135,0.16542112827301025
