metric,class,n,lower_whisker,q1,median,q3,upper_whisker
mean_abs_torque_normalized,walking,66,0.00015247877909309066,0.0001759438225126468,0.00019181472359668835,0.00021122159472326701,0.00024229983172425627
mean_abs_torque_normalized,running,10,0.0001427472328155859,0.00016851040423964094,0.00018308056380146972,0.0002098927990236839,0.0002223762985685673
mean_abs_torque_normalized,jumping,10,0.00012546193456735902,0.0001377501903919887,0.0001433786752816197,0.00020146544452114825,0.00025870938125702886
mean_abs_torque_normalized,kicking,7,0.00016743427068420446,0.00019478240331880303,0.00020929101162079787,0.00020960527088328227,0.0003827515476500084
mean_abs_torque_normalized,dancing,8,0.00013790734482714022,0.0001509602648462876,0.00016338930501420213,0.0001798018217707968,0.0003827515476500084
mean_abs_torque_normalized,sitting,4,0.00018919989504029817,0.00019847670653524275,0.0002146803267617094,0.0002146803267617094,0.00038454920545428074
mean_abs_torque_normalized,standing,36,0.0001433786752816197,0.0001683332298762923,0.00018414679881724328,0.00020561479732300478,0.0002589504523483897
mean_abs_torque_normalized,other,40,0.0001293224454981328,0.0001570017170184444,0.00018030140273908176,0.00019981875453586127,0.00027106968687243336
mean_power_mass_normalized,walking,66,0.18074307196356523,0.2065507539682608,0.23413209077334696,0.27903075940533056,0.37511360218711287
mean_power_mass_normalized,running,10,0.1788602217814138,0.1968512348580388,0.2235643525155851,0.26990543765124153,0.42795072238313275
mean_power_mass_normalized,jumping,10,0.15195749085693605,0.16155451390933342,0.18946939232296814,0.2146026828270272,0.5143930239140204
mean_power_mass_normalized,kicking,7,0.20296742312865726,0.21236930319261216,0.22811143375726142,0.3510737818376524,0.7740624286506984
mean_power_mass_normalized,dancing,8,0.15082400477978244,0.19203664597508477,0.2112689189733009,0.21989553009866128,0.7740624286506984
mean_power_mass_normalized,sitting,4,0.1994111876095632,0.23317909802054032,0.24014162888072724,0.24014162888072724,0.44559053572242824
mean_power_mass_normalized,standing,36,0.15390625055804094,0.1799348015604828,0.2039349513838894,0.23656876098581503,0.3334138704577725
mean_power_mass_normalized,other,40,0.15341226253495996,0.17374621502651474,0.18598249979768233,0.20840018297615603,0.31694294540381723
normalized_jerk,walking,66,241.96212470319202,332.5990570550753,370.6162355263225,469.25700709798974,626.1502382351083
normalized_jerk,running,10,158.26821223084858,231.23158625403093,266.41519745927894,346.1249729013242,496.3103550409675
normalized_jerk,jumping,10,98.1692644269141,183.20074428345265,231.6758259455551,351.3459155579606,443.2167735819328
normalized_jerk,kicking,7,208.12999734916414,408.4207471042039,411.6126568082153,447.3629698756778,745.9288260101963
normalized_jerk,dancing,8,120.36128455655245,346.29539999600746,359.78508688951746,447.3629698756778,745.9288260101963
normalized_jerk,sitting,4,319.2659189735925,462.36292132559544,495.2799814268651,495.2799814268651,1259.4667631559284
normalized_jerk,standing,36,61.32772730544485,138.56969096219524,319.2659189735925,435.4452950834027,593.1198508735143
normalized_jerk,other,40,54.51059313591769,135.37306839356395,208.80782980712883,401.1193855977352,697.7450712253718
